Timestamp|Worker|Table|Destination|ScriptName
2025-09-09 11:10:48|0|/WRP/MP_INBIDD|W4PCLNT401_TS|$/WRP/MP_INBIDD_COMP_01
2025-09-09 11:10:53|1|/WRP/MPASKDELIVH|W4PCLNT401_TS|$/WRP/MPASKDELIVH_COMP_
2025-09-09 11:11:42|0|/WRP/MPASKDELIVP|W4PCLNT401_TS|$/WRP/MPASKDELIVP_COMP_
2025-09-09 11:11:47|1|/wrp/mpbwindex|W4PCLNT401_TS|$/wrp/mpbwindex_COMP_01
2025-09-09 11:12:46|0|/WRP/MPDEVSTDET|W4PCLNT401_TS|$/WRP/MPDEVSTDET_COMP_0
2025-09-09 11:12:51|1|/WRP/MPDEVSTSU2|W4PCLNT401_TS|$/WRP/MPDEVSTSU2_COMP_0
2025-09-09 11:14:00|1|/WRP/MPMV_GLDBSG|W4PCLNT401_TS|$/WRP/MPMV_GLDBSG_COMP_
2025-09-09 11:14:01|0|/WRP/MPPARALPROC|W4PCLNT401_TS|$/WRP/MPPARALPROC_COMP_
2025-09-09 11:14:58|0|/WUE/BOMCHECKC_T|W4PCLNT401_TS|$/WUE/BOMCHECKC_T_COMP_
2025-09-09 11:15:01|1|/WUE/BATNUM_IND|W4PCLNT401_TS|$/WUE/BATNUM_IND_COMP_0
2025-09-09 11:16:11|1|/WUE/BOMCHECKTYP|W4PCLNT401_TS|$/WUE/BOMCHECKTYP_COMP_
2025-09-09 11:16:12|0|/WUE/BOMCHECKCAT|W4PCLNT401_TS|$/WUE/BOMCHECKCAT_COMP_
2025-09-09 11:17:09|1|/WUE/CDM_MATASIA|W4PCLNT401_TS|$/WUE/CDM_MATASIA_COMP_
2025-09-09 11:17:10|0|/WUE/CDM_MATN_AU|W4PCLNT401_TS|$/WUE/CDM_MATN_AU_COMP_
2025-09-09 11:17:52|1|/WUE/EXFOR|W4PCLNT401_TS|$/WUE/EXFOR_COMP_01
2025-09-09 11:19:02|0|/WUE/EXFOR_H|W4PCLNT401_TS|$/WUE/EXFOR_H_COMP_01
2025-09-09 11:19:16|1|/WUE/EXPRF_MWSKZ|W4PCLNT401_TS|$/WUE/EXPRF_MWSKZ_COMP_
2025-09-09 11:19:49|0|/WUE/LFB_ELBP|W4PCLNT401_TS|$/WUE/LFB_ELBP_COMP_01
2025-09-09 11:20:00|1|/WUE/LFB_SEL|W4PCLNT401_TS|$/WUE/LFB_SEL_COMP_01
2025-09-09 11:20:39|1|/WUE/ME_SG_TERM|W4PCLNT401_TS|$/WUE/ME_SG_TERM_COMP_0
2025-09-09 11:20:41|0|/WUE/MATTEXT_UPD|W4PCLNT401_TS|$/WUE/MATTEXT_UPD_COMP_
2025-09-09 11:21:23|1|/WUE/MECOCO_LBO|W4PCLNT401_TS|$/WUE/MECOCO_LBO_COMP_0
2025-09-09 11:21:24|0|/WUE/MIB_DESGRSL|W4PCLNT401_TS|$/WUE/MIB_DESGRSL_COMP_
2025-09-09 11:22:10|0|/WUE/MIBIKPF|W4PCLNT401_TS|$/WUE/MIBIKPF_COMP_01
2025-09-09 11:22:11|1|/WUE/MIB_HUBOOK|W4PCLNT401_TS|$/WUE/MIB_HUBOOK_COMP_0
2025-09-09 11:23:33|1|/WUE/MIBLBLAMO_C|W4PCLNT401_TS|$/WUE/MIBLBLAMO_C_COMP_
2025-09-09 11:23:33|0|/WUE/MIBISEG|W4PCLNT401_TS|$/WUE/MIBISEG_COMP_01
2025-09-09 11:24:49|1|/WUE/MIBLBLSSB_C|W4PCLNT401_TS|$/WUE/MIBLBLSSB_C_COMP_
2025-09-09 11:24:53|0|/WUE/MIBSLED|W4PCLNT401_TS|$/WUE/MIBSLED_COMP_01
2025-09-09 11:25:36|1|/WUE/MIC_AUTCREA|W4PCLNT401_TS|$/WUE/MIC_AUTCREA_COMP_
2025-09-09 11:25:39|0|/WUE/MIC_USR_LOG|W4PCLNT401_TS|$/WUE/MIC_USR_LOG_COMP_
2025-09-09 11:26:43|1|/WUE/MIP_ASSIGNU|W4PCLNT401_TS|$/WUE/MIP_ASSIGNU_COMP_
2025-09-09 11:26:44|0|/WUE/MIP_REF|W4PCLNT401_TS|$/WUE/MIP_REF_COMP_01
2025-09-09 11:27:43|1|/WUE/MIP_REFTXTS|W4PCLNT401_TS|$/WUE/MIP_REFTXTS_COMP_
2025-09-09 11:27:43|0|/WUE/MIP_ZPIWORK|W4PCLNT401_TS|$/WUE/MIP_ZPIWORK_COMP_
2025-09-09 11:28:58|0|/WUE/MIS_REP_STK|W4PCLNT401_TS|$/WUE/MIS_REP_STK_COMP_
2025-09-09 11:29:02|1|/WUE/MM_AUTOINQ|W4PCLNT401_TS|$/WUE/MM_AUTOINQ_COMP_0
2025-09-09 11:29:52|0|/WUE/MM_DB_MATNR|W4PCLNT401_TS|$/WUE/MM_DB_MATNR_COMP_
2025-09-09 11:30:09|1|/WUE/MM_DOC_LOG|W4PCLNT401_TS|$/WUE/MM_DOC_LOG_COMP_0
2025-09-09 11:30:55|0|/WUE/MM_DRUCKST|W4PCLNT401_TS|$/WUE/MM_DRUCKST_COMP_0
2025-09-09 11:31:17|1|/WUE/MM_MVER|W4PCLNT401_TS|$/WUE/MM_MVER_COMP_01
2025-09-09 11:32:07|0|/WUE/MM_RESCHLOG|W4PCLNT401_TS|$/WUE/MM_RESCHLOG_COMP_
2025-09-09 11:32:10|1|/WUE/MM_SERV_SL|W4PCLNT401_TS|$/WUE/MM_SERV_SL_COMP_0
2025-09-09 11:33:09|1|/WUE/MM_SUBCONMU|W4PCLNT401_TS|$/WUE/MM_SUBCONMU_COMP_
2025-09-09 11:33:09|0|/WUE/MM_TRANSDOC|W4PCLNT401_TS|$/WUE/MM_TRANSDOC_COMP_
2025-09-09 11:34:04|1|/WUE/MM_VDN|W4PCLNT401_TS|$/WUE/MM_VDN_COMP_01
2025-09-09 11:34:05|0|/WUE/MMBI_MDKP|W4PCLNT401_TS|$/WUE/MMBI_MDKP_COMP_01
2025-09-09 11:34:57|1|/WUE/MMC_OTV_TAX|W4PCLNT401_TS|$/WUE/MMC_OTV_TAX_COMP_
2025-09-09 11:34:58|0|/WUE/MMC_PL_PO_K|W4PCLNT401_TS|$/WUE/MMC_PL_PO_K_COMP_
2025-09-09 11:35:43|1|/WUE/MMC_PL_PO_P|W4PCLNT401_TS|$/WUE/MMC_PL_PO_P_COMP_
2025-09-09 11:35:47|0|/WUE/MMC_TAX_REG|W4PCLNT401_TS|$/WUE/MMC_TAX_REG_COMP_
2025-09-09 11:36:37|1|/WUE/MMC_TAXES|W4PCLNT401_TS|$/WUE/MMC_TAXES_COMP_01
2025-09-09 11:36:39|0|/WUE/MMDIAB_PMAT|W4PCLNT401_TS|$/WUE/MMDIAB_PMAT_COMP_
2025-09-09 11:37:27|0|/WUE/MMDIABDELS|W4PCLNT401_TS|$/WUE/MMDIABDELS_COMP_0
2025-09-09 11:37:33|1|/WUE/MMDIABHU_C|W4PCLNT401_TS|$/WUE/MMDIABHU_C_COMP_0
2025-09-09 11:38:19|0|/WUE/MMDIABMOVES|W4PCLNT401_TS|$/WUE/MMDIABMOVES_COMP_
2025-09-09 11:38:25|1|/WUE/MMDIABPOST|W4PCLNT401_TS|$/WUE/MMDIABPOST_COMP_0
2025-09-09 11:39:25|1|/WUE/MMEXP_HEAD|W4PCLNT401_TS|$/WUE/MMEXP_HEAD_COMP_0
2025-09-09 11:39:31|0|/WUE/MMDIABSTORE|W4PCLNT401_TS|$/WUE/MMDIABSTORE_COMP_
2025-09-09 11:40:18|0|/WUE/MMP_PQ_H|W4PCLNT401_TS|$/WUE/MMP_PQ_H_COMP_01
2025-09-09 11:40:23|1|/WUE/MMEXP_POS|W4PCLNT401_TS|$/WUE/MMEXP_POS_COMP_01
2025-09-09 11:41:36|0|/WUE/MMP_SRV_LE|W4PCLNT401_TS|$/WUE/MMP_SRV_LE_COMP_0
2025-09-09 11:41:42|1|/WUE/MMSRSDETSUP|W4PCLNT401_TS|$/WUE/MMSRSDETSUP_COMP_
2025-09-09 11:42:38|0|/WUE/MMV_NRVPROT|W4PCLNT401_TS|$/WUE/MMV_NRVPROT_COMP_
2025-09-09 11:43:04|1|/WUE/MMV_TMSTAMP|W4PCLNT401_TS|$/WUE/MMV_TMSTAMP_COMP_
2025-09-09 11:43:35|0|/WUE/MMV_WKBASKE|W4PCLNT401_TS|$/WUE/MMV_WKBASKE_COMP_
2025-09-09 11:43:52|1|/WUE/MP_BLK_RUL|W4PCLNT401_TS|$/WUE/MP_BLK_RUL_COMP_0
2025-09-09 11:44:21|0|/WUE/MP_CUSTLIAB|W4PCLNT401_TS|$/WUE/MP_CUSTLIAB_COMP_
2025-09-09 11:44:33|1|/WUE/MP_KOPRW_C|W4PCLNT401_TS|$/WUE/MP_KOPRW_C_COMP_0
2025-09-09 11:45:06|0|/WUE/MP_POCHK_C|W4PCLNT401_TS|$/WUE/MP_POCHK_C_COMP_0
2025-09-09 11:45:17|1|/WUE/MP_ZSVW|W4PCLNT401_TS|$/WUE/MP_ZSVW_COMP_01
2025-09-09 11:45:58|0|/WUE/MP_ZSVW_ACC|W4PCLNT401_TS|$/WUE/MP_ZSVW_ACC_COMP_
2025-09-09 11:46:43|0|/WUE/MPFUPKUNR_C|W4PCLNT401_TS|$/WUE/MPFUPKUNR_C_COMP_
